mean(cos) CluSize(#NTs) Fitting data --> mean(cos) vs Cluster size(#NTs) 
0.5038			1.8837			0.4082			2.0007
0.5038			1.8908			0.4083			2.0007
0.5039			1.8979			0.4083			2.0007
0.5040			1.9163			0.4084			2.0007
0.5041			1.9195			0.4085			2.0007
0.5042			1.9265			0.4085			2.0007
0.5043			1.9335			0.4086			2.0007
0.5044			1.9404			0.4086			2.0007
0.5045			1.9472			0.4087			2.0007
0.5046			1.9541			0.4088			2.0007
0.5048			1.9609			0.4088			2.0007
0.5049			1.9788			0.4089			2.0007
0.5050			1.9967			0.4089			2.0007
0.5051			1.9997			0.4090			2.0007
0.5052			2.0008			0.4091			2.0007
0.5053			2.0037			0.4091			2.0007
0.5054			2.0048			0.4092			2.0007
0.5055			2.0078			0.4092			2.0007
0.5055			2.0088			0.4093			2.0007
0.5056			2.0117			0.4094			2.0007
0.5056			2.0117			0.4094			2.0007
0.5056			2.0146			0.4095			2.0007
0.5056			2.0175			0.4095			2.0007
0.5057			2.0185			0.4096			2.0007
0.5058			2.0185			0.4097			2.0007
0.5060			2.0195			0.4097			2.0007
0.5062			2.0260			0.4098			2.0007
0.5064			2.0270			0.4098			2.0007
0.5067			2.0298			0.4099			2.0007
0.5071			2.0326			0.4100			2.0007
0.5074			2.0354			0.4100			2.0007
0.5078			2.0364			0.4101			2.0007
0.5082			2.0391			0.4101			2.0007
0.5086			2.0419			0.4102			2.0007
0.5091			2.0446			0.4103			2.0007
0.5095			2.0509			0.4103			2.0007
0.5099			2.0571			0.4104			2.0007
0.5103			2.0598			0.4104			2.0007
0.5107			2.0625			0.4105			2.0007
0.5112			2.0624			0.4106			2.0007
0.5117			2.0650			0.4106			2.0007
0.5121			2.0677			0.4107			2.0007
0.5125			2.0703			0.4107			2.0007
0.5129			2.0712			0.4108			2.0007
0.5132			2.0704			0.4109			2.0007
0.5136			2.0702			0.4109			2.0007
0.5139			2.0711			0.4110			2.0007
0.5142			2.0720			0.4110			2.0008
0.5146			2.0746			0.4111			2.0008
0.5149			2.0772			0.4112			2.0008
0.5153			2.0781			0.4112			2.0008
0.5157			2.0841			0.4113			2.0008
0.5160			2.0900			0.4113			2.0008
0.5164			2.0926			0.4114			2.0008
0.5168			2.0985			0.4115			2.0008
0.5171			2.1010			0.4115			2.0008
0.5176			2.1035			0.4116			2.0008
0.5179			2.1043			0.4116			2.0008
0.5183			2.1068			0.4117			2.0008
0.5186			2.1092			0.4118			2.0008
0.5189			2.1117			0.4118			2.0008
0.5192			2.1142			0.4119			2.0008
0.5196			2.1199			0.4119			2.0008
0.5199			2.1224			0.4120			2.0008
0.5203			2.1281			0.4121			2.0008
0.5207			2.1338			0.4121			2.0008
0.5211			2.1395			0.4122			2.0008
0.5215			2.1452			0.4122			2.0008
0.5220			2.1509			0.4123			2.0008
0.5224			2.1532			0.4124			2.0008
0.5229			2.1588			0.4124			2.0008
0.5234			2.1595			0.4125			2.0008
0.5238			2.1618			0.4125			2.0008
0.5243			2.1674			0.4126			2.0008
0.5248			2.1696			0.4127			2.0008
0.5253			2.1752			0.4127			2.0008
0.5258			2.1774			0.4128			2.0008
0.5262			2.1797			0.4128			2.0008
0.5267			2.1819			0.4129			2.0008
0.5272			2.1841			0.4130			2.0008
0.5276			2.1864			0.4130			2.0008
0.5281			2.2015			0.4131			2.0008
0.5285			2.2020			0.4131			2.0008
0.5289			2.2074			0.4132			2.0008
0.5293			2.2080			0.4133			2.0008
0.5297			2.2101			0.4133			2.0008
0.5300			2.2155			0.4134			2.0008
0.5302			2.2176			0.4134			2.0008
0.5305			2.2197			0.4135			2.0008
0.5309			2.2250			0.4136			2.0008
0.5312			2.2271			0.4136			2.0008
0.5316			2.2324			0.4137			2.0008
