mean(cos) CluSize(#NTs) Fitting data --> mean(cos) vs Cluster size(#NTs) 
						
0.5117		3.1164		0.4127		2.0018
0.5116		3.1167		0.4128		2.0019
0.5116		3.1170		0.4129		2.0019
0.5116		3.1174		0.4130		2.0019
0.5116		3.1177		0.4131		2.0019
0.5116		3.1180		0.4132		2.0019
0.5116		3.1184		0.4133		2.0019
0.5116		3.1187		0.4134		2.0019
0.5115		3.1190		0.4135		2.0019
0.5115		3.1194		0.4135		2.0020
0.5115		3.1197		0.4136		2.0020
0.5114		3.1200		0.4137		2.0020
0.5114		3.1204		0.4138		2.0020
0.5114		3.1207		0.4139		2.0020
0.5113		3.1210		0.4140		2.0020
0.5113		3.1239		0.4141		2.0020
0.5112		3.1242		0.4142		2.0021
0.5112		3.1245		0.4143		2.0021
0.5111		3.1249		0.4144		2.0021
0.5111		3.1252		0.4145		2.0021
0.5110		3.1255		0.4146		2.0021
0.5110		3.1258		0.4147		2.0021
0.5109		3.1261		0.4148		2.0021
0.5109		3.1264		0.4148		2.0022
0.5108		3.1268		0.4149		2.0022
0.5108		3.1271		0.4150		2.0022
0.5108		3.1274		0.4151		2.0022
0.5107		3.1277		0.4152		2.0022
0.5106		3.1305		0.4153		2.0022
0.5106		3.1333		0.4154		2.0022
0.5106		3.1361		0.4155		2.0023
0.5106		3.1389		0.4156		2.0023
0.5105		3.1417		0.4157		2.0023
0.5105		3.1445		0.4158		2.0023
0.5106		3.1472		0.4159		2.0023
0.5106		3.1500		0.4160		2.0023
0.5106		3.1527		0.4161		2.0024
0.5106		3.1555		0.4161		2.0024
0.5106		3.1582		0.4162		2.0024
0.5106		3.1609		0.4163		2.0024
0.5106		3.1612		0.4164		2.0024
0.5106		3.1614		0.4165		2.0024
0.5106		3.1641		0.4166		2.0025
0.5105		3.1668		0.4167		2.0025
0.5105		3.1695		0.4168		2.0025
0.5104		3.1722		0.4169		2.0025
0.5104		3.1749		0.4170		2.0025
0.5103		3.1776		0.4171		2.0025
0.5103		3.1802		0.4172		2.0026
0.5102		3.1829		0.4173		2.0026
0.5102		3.1855		0.4173		2.0026
0.5101		3.1882		0.4174		2.0026
0.5101		3.1908		0.4175		2.0026
0.5100		3.1934		0.4176		2.0027
0.5100		3.1960		0.4177		2.0027
0.5099		3.1986		0.4178		2.0027
0.5099		3.1988		0.4179		2.0027
0.5098		3.1990		0.4180		2.0027
0.5098		3.2016		0.4181		2.0027
0.5098		3.2042		0.4182		2.0028
0.5097		3.2068		0.4183		2.0028
0.5097		3.2069		0.4184		2.0028
0.5097		3.2095		0.4185		2.0028
0.5096		3.2121		0.4186		2.0028
0.5096		3.2146		0.4186		2.0029
0.5095		3.2148		0.4187		2.0029
0.5094		3.2173		0.4188		2.0029
0.5094		3.2175		0.4189		2.0029
0.5094		3.2200		0.4190		2.0029
0.5094		3.2225		0.4191		2.0030
0.5094		3.2251		0.4192		2.0030
0.5094		3.2276		0.4193		2.0030
0.5094		3.2301		0.4194		2.0030
0.5094		3.2326		0.4195		2.0030
0.5094		3.2327		0.4196		2.0031
0.5094		3.2352		0.4197		2.0031
0.5094		3.2377		0.4198		2.0031
0.5094		3.2401		0.4199		2.0031
0.5094		3.2426		0.4199		2.0032
0.5094		3.2450		0.4200		2.0032
0.5094		3.2475		0.4201		2.0032
0.5094		3.2499		0.4202		2.0032
0.5093		3.2524		0.4203		2.0032
0.5093		3.2525		0.4204		2.0033
0.5092		3.2526		0.4205		2.0033
0.5092		3.2550		0.4206		2.0033
0.5091		3.2574		0.4207		2.0033
0.5091		3.2598		0.4208		2.0034
0.5090		3.2622		0.4209		2.0034
0.5090		3.2646		0.4210		2.0034
0.5089		3.2670		0.4211		2.0034
0.5088		3.2694		0.4212		2.0035
0.5088		3.2718		0.4212		2.0035
0.5087		3.2718		0.4213		2.0035
0.5087		3.2719		0.4214		2.0035
0.5087		3.2720		0.4215		2.0036
0.5086		3.2721		0.4216		2.0036
0.5086		3.2722		0.4217		2.0036
0.5085		3.2723		0.4218		2.0036
0.5085		3.2723		0.4219		2.0037
0.5084		3.2724		0.4220		2.0037
0.5084		3.2725		0.4221		2.0037
0.5084		3.2749		0.4222		2.0037
0.5083		3.2749		0.4223		2.0038
0.5083		3.2750		0.4224		2.0038
0.5082		3.2751		0.4225		2.0038
0.5082		3.2752		0.4225		2.0038
0.5081		3.2775		0.4226		2.0039
0.5080		3.2798		0.4227		2.0039
0.5080		3.2821		0.4228		2.0039
0.5079		3.2844		0.4229		2.0039
0.5079		3.2867		0.4230		2.0040
0.5078		3.2890		0.4231		2.0040
0.5078		3.2913		0.4232		2.0040
0.5078		3.2935		0.4233		2.0041
0.5078		3.2958		0.4234		2.0041
0.5078		3.2981		0.4235		2.0041
0.5078		3.3003		0.4236		2.0041
0.5078		3.3026		0.4237		2.0042
0.5078		3.3048		0.4238		2.0042
0.5078		3.3071		0.4238		2.0042
0.5077		3.3093		0.4239		2.0043
0.5077		3.3115		0.4240		2.0043
0.5077		3.3137		0.4241		2.0043
0.5077		3.3160		0.4242		2.0043
0.5077		3.3182		0.4243		2.0044
0.5076		3.3204		0.4244		2.0044
0.5076		3.3226		0.4245		2.0044
0.5076		3.3248		0.4246		2.0045
0.5076		3.3270		0.4247		2.0045
0.5076		3.3291		0.4248		2.0045
0.5075		3.3313		0.4249		2.0046
0.5075		3.3335		0.4250		2.0046
0.5076		3.3356		0.4251		2.0046
0.5076		3.3378		0.4251		2.0047
0.5076		3.3400		0.4252		2.0047
0.5076		3.3421		0.4253		2.0047
0.5075		3.3442		0.4254		2.0048
0.5075		3.3464		0.4255		2.0048
0.5076		3.3485		0.4256		2.0048
0.5076		3.3506		0.4257		2.0049
